[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,PVDF+GdGeSi-2procent
FILEOPENTIME,608321.69,06/05/2018,1:03 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 3,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC963,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM693,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,702,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven Module,OVEN_MODULE_NAME
INFO,unknown,OVEN_HW_VERSION
INFO,OVN299,OVEN_SERIAL_NUMBER
INFO,unknown,OVEN_SOFTWARE_VERSION
INFO,794,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RnAc5Mn5Nb,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,5.265143272970622,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu)
,358.8940853829895,1.8948093429447055,2000.191001537838,6.70674878151169e-05,7.134839129267755e-07
,362.51159940349726,3.078117682316993,2000.191001537838,6.972776010251511e-05,7.662391220056606e-07
,372.40644897976387,4.010035190194746,2000.191001537838,6.822376959610374e-05,5.733089882025524e-07
,372.6305304527471,5.069257708306981,2000.191001537838,6.96268513940234e-05,7.033015292325596e-07
,376.5267306069066,5.995225368733906,2000.191001537838,6.942445653622526e-05,7.08412821798217e-07
,382.7937096901181,7.106094650867281,2000.191001537838,7.004878689064126e-05,7.221524421715594e-07
,388.6836933838983,8.005135100279952,2000.191001537838,6.858545360762197e-05,6.123701214966247e-07
,397.5308957132711,8.952150673978727,2000.191001537838,6.930919716501427e-05,6.133557271240201e-07
,398.56788790351897,10.026512902017782,2000.191001537838,7.117236717851302e-05,6.590033998010465e-07
,401.3857764763114,10.987317263162321,2000.191001537838,6.950781510562794e-05,6.318892282329813e-07
,404.90187301842786,12.040799821394241,2000.191001537838,7.156396409237686e-05,6.947957678871539e-07
,412.6700906039945,12.971271028854867,2000.191001537838,7.083123197524748e-05,6.682191695778065e-07
,416.9301363788548,13.945272256437518,2000.191001537838,7.137781466710764e-05,6.10066792026561e-07
,426.005553577667,15.004714552606561,2000.191001537838,7.002710791198921e-05,6.865402736469531e-07
,434.8703975280547,15.973853735182262,2000.191001537838,7.018511278828169e-05,5.94789091426116e-07
sample offset = 34.54 mm touchdown = 9.32000018656254 mm,444.7166548967641,17.04982640519469,2000.191001537838,7.244362183819453e-05,7.10231586648966e-07
,447.16297297045816,18.00834148160376,2000.191001537838,6.747802922666591e-05,5.670422624089572e-07
